Firm Name,Investment Sector,Location (City),Investment Stage,URL
PointGuard Ventures,"Technology, Healthcare, IT, High-Tech, Software, Internet, Agriculture, Biomedical, Diversified, Education / Training, Medical Devices, Medical Technologies, Predictive Medicine, Wireless, Healthcare IT","Menlo Park, CA","Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Restructuring",http://www.pointguardventures.com
PortfoLion,Technology,"Portland, OR","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.portfolion.hu
Portland Seed Fund,Diversified,"Portland, OR","Early Stage Venture, Seed",www.portlandseedfund.com
Powerplant Ventures,Food,"Manhattan Beach, CA","Expansion / Late Stage, Venture (General)",www.powerplantvc.com
Precursor Ventures,"Technology, Software, Internet","San Francisco, CA","Early Stage, Early Stage: Seed",www.precursorvc.com
Presence Capital,"Technology, Gaming","San Francisco, CA","Early Stage, Early Stage: Start-up",www.presencecap.com
priceline.come,"Technology, Travel","Norwalk, CT",Early Stage Venture,www.priceline.com
Primary Venture Partners,"Finance, E-Commerce, SaaS","New York, NY",Seed,www.primary.vc
Progress Ventures,"Media, Marketing, Technology","Cambridge, MA","Debt, Early Stage Venture, Late Stage Venture, Seed",www.progressventures.com
Project 11 Ventures,"Technology, IT, Software, Internet, IT Security, IT Infrastructure","Lexington, MA","Early Stage, Early Stage: Seed",www.project11.com
Promus Ventures,Diversified,"Chicago, IL","Buyout, Co-Investment, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",http://www.promusventures.com
Prosper Capital,"Technology, Healthcare, Consumer Products","St. Louis, MO","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.prosperstl.com
PV Ventures,Diversified,"Colorado Springs, CO","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.pvventuresllc.com
Quest Venture Partners,"Business Services, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.questvp.com
R7 Partners,"Enterprise Software, Finance, Transportation","Chicago, IL",Early Stage Venture,www.r7partners.com
Radicle,"Technology, Agriculture, Food","San Diego, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.radicle.vc
Radicle Impact Partners,"Financial Services, Agriculture, Energy, Food","Oakland, CA",Early Stage,www.radicleimpact.com
Raptor Ventures,"Technology, Consumer, Sports and Media, Financial Services, Healthcare","Boston, MA","Early Stage Venture, Late Stage Venture, Seed",www.raptorventures.com
Reach Capital,"Education, Technology","Palo Alto, CA","Early Stage Venture, Seed",reachcap.com/
Red & Blue Ventures,"Technology, IT, Software, Hardware, Business Services","Philadelphia, PA","Early Stage, Early Stage: Seed",http://www.redandblue.vc
Red Dog Capital,"Technology, Telecoms, Healthcare, High-Tech, Software, Business Services","San Francisco, CA",Early Stage: Seed,http://www.reddogcap.com
Red Sea Ventures,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.redseaventures.com
Red Swan Ventures,"Consumer Products, Retail","New York, NY",Early Stage: Seed,http://www.redswan.vc
Refactor Capital,"Software, Healthcare IT","Burlingame, CA","Early Stage, Early Stage: Seed, Venture (General)",https://www.refactor.com
Refinery,"Diversified, Healthcare, Information Technology, Telecoms, Media, and Communications","Cincinnati, OH","Early Stage, Venture (General)",www.refinery.com
Reimagined Ventures,"Consumer Discretionary, Diversified, Healthcare, Information Technology","Los Angeles, CA","Early Stage, Venture (General)",N/A
Reinventure Capital,"Diversified, Energy and Utilities, Healthcare","Boston, MA","Growth, Venture (General)",www.reinventurecapital.com
Rembrandt Venture Partners,Financial Services,"San Francisco, CA","Early Stage Venture, Late Stage Venture, Private Equity, Seed",www.rembrandtvc.com
Remiges Ventures,"Pharmaceuticals, Biotechnology, Biomedical","Cambridge, MA",Early Stage,www.remigesventures.com
Renaissance Venture Capital Fund,"Diversified, Healthcare, Information Technology","Ann Arbor, MI","Early Stage: Start-up, Fund of Funds, Venture (General)",www.renvcf.com
Resolute Capital Partners,"Business Services, Consumer Discretionary, Diversified, Food and Agriculture, Healthcare, Industrials, telecoms, Media, and Communications","Nashville, TN","Buyout, Expansion / Late Stage, Growth, Management Buyout, Mezzanine, Recapitalisation",resolutecap.com/
Resolute Ventures,Diversified,"Wellesley, MA","Early Stage, Early Stage: Seed",http://www.resolute.vc
Resonant Venture Partners,"Manufacturing, IT, Energy, IT Infrastructure","Ann Arbor, MI","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.resonantvc.com
Restless Ventures,N/A,"Milwaukee, WI",N/A,http://restlessventures.us/
Rethink VC,"Technology, Education / Training","White Plains, NY","Early Stage, Growth, Venture (General)",www.rethink.vc
Revel Partners,"Technology, IT, Software, Internet, Marketing, Digital Media, Telecom Media, Advertising","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.revelpartners.com
Richmond Global,"Clean Technology, Diversified, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed, Growth",www.rglobalventures.com
Right Side Capital Management,Technology,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.rightsidecapital.com
Rincon Venture Partners,"Business Services, Clean Technology, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Santa Barbara, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.rinconvp.com
Rise Capital,Internet,"San Francisco, CA","Early Stage, Expansion / Late Stage, Venture (General)",http://www.risecapital.com
Riverwalk Capital,IT,"San Antonio, TX","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.geekdomfund.com
Rivet Ventures,"Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","San Francisco, CA",Early Stage,www.rivetventures.com
Rock Health,Healthcare IT,"San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.rockhealth.com
Romulus Capital,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","Boston, MA","Early Stage, Early Stage: Seed",www.romuluscap.com
Root Ventures,"Business Services, Food and Agriculture, Industrials, Information Technology, Infrastructure","San Francisco, CA","Early Stage, Growth, Venture (General)",www.root.vc
Rothenberg Ventures,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.rothenbergventures.com
Router Ventures,Information Technology,"Omaha, NE","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.routerventures.com
Rubicon VC,"Business Services, Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.rubicon.vc
SaaStr Fund,"Business Services, Information Technology","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.saastrfund.com
Sandalphon Capital,"Business Services, Healthcare, Information Technology, Real Estate, Telecoms, Media, and Communications","Chicago, IL","Early Stage, Early Stage: Seed",www.sandalphoncapital.com
Sands Capital Ventures,"Technology, Biotechnology, Software","Arlington, VA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",http://www.sandscapitalventures.com
Sapir Venture Partners,N/A,Israel/NYC/Boston,N/A,http://www.sapirvp.com/
Schematic Ventures,"Information Technology within Supply Chain, Transportation, Manufacturing, Digital Industrial","New York, NY",Early Stage,https://schematicventures.com/
Science,"Retail, Media, Internet, Business Services, Telecom Media","Santa Monica, CA","Early Stage Venture, Seed",www.science-inc.com
ScienceVest,Healthcare Tech,N/A,"Pre-Seed, Seed",http://www.sciencevest.com/
Scout Ventures,"Business Services, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.scoutventures.com
Scrum Ventures,"Consumer Discretionary, Food and Agriculture, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Start-up, Growth",scrum.vc
Seattle Angel Fund,Diversified,"Seattle, WA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.seattleangelfund.net
Serra Ventures,"Business Services, Clean Technology, Consumer Discretionary, Healthcare, Food and Agriculture, Industrials, Information Technology, Materials, Telecoms, Media, and Communication","Champaign/Chicago, IL","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.serraventures.com
Seven Peaks Ventures,"Diversified, Healthcare, Information Technology, Telecoms, Media, and Communications","Bend, OR","Early Stage: Seed, Early Stage: Start-up",www.sevenpeaksventures.com
Seyen Capital,"Business Services, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Chicago, IL","Expansion / Late Stage, Growth",www.seyencapital.com
SG VC,"Technology, Financial Services, IT, Software, Internet","Beverly Hills, CA","Early Stage, Expansion / Late Stage, Venture (General)",http://www.sg-vc.com
Shrug Capital,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Start-up",www.shrug.vc
Sierra Wasatch Capital,"Technology, Telecoms, Media, Internet, Entertainment, Marketing, Digital Media, Telecom Media, Advertising","Truckee, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.sierrawasatch.com
Signia Ventures,Technology,"Menlo Park, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.signiaventurepartners.com
Silicon Badia,Diversified,"New York, NY",Early Stage,https://www.siliconbadia.com/
Silver Sail Capital,"Business Services, Consumer Discretionary, Diversified, Energy and Utilities, Food and Agriculture, Individuals","Los Angeles, CA","Buyout, Expansion / Late Stage",www.silversailcapital.com
Sinewave Ventures,"Business Services, Consumer Discretionary, Healthcare, Industrials, Information Technology, Infrastructure, Telecoms, Media, and Communications","Palo Alto, CA/Washington, D.C.","Early Stage, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.sinewave.vc
SK Ventures,FinTech  ,"San Francisco, CA",Seed Stage  ,http://skvcap.com/
SkyDeck Fund,Information Technology,"San Mateo, CA","Angel, Series A/Round 1, Unspecified Round",www.skydeck.com
Skyline Capital Partners,"Real Estate, Technology","San Francisco, CA",Early Stage,http://skylinecapitalpartners.com/
Social Leverage,"Business Services, Consumer Discretionary, Information Technology, Real Estate, Telecoms, Media and Communications","San Diego, CA",Early Stage: Seed,www.socialleverage.com
Sofia Fund,"Business Services, Clean Technology, Consumer Discretionary, Healthcare, Information Technology, Materials, Telecoms, Media, and Communications","Minneapolis, MN","Early Stage, Expansion / Late Stage, Venture (General)",www.sofiafund.com
SoGal Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology","Los Angeles, CA",Early Stage: Start-up,www.sogalventures.com
Sonoma Brands,"Consumer Products, Food","Sonoma, CA",Venture (General),http://www.sonomabrands.com
Source Capital,"Technology, Healthcare, IT, Internet, Leisure","Atlanta, GA","Divestiture, Growth, Management Buyout, Mezzanine, Recapitalisation",www.source-cap.com
South Ventures,"Media, Financial Services, High-Tech, Software, Internet, Computer Services, Diversified, Education / Training, Marketing, Clean Technology","Key Biscayne, FL","Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.sthventures.com/en
Splash Ventures,Diversified,"Los Angeles, CA",Early Stage: Start-up,www.splash.ventures
Spyder Capital,N/A,"Short Hills, NJ",N/A,http://www.spydercap.com/
Stage Venture Partners,"Technology, Transportation, Media, Software","Los Angeles, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.stagevp.com
StageVP,"Industrials, Information Technology, Telecoms, Media and Communications","Los Angeles, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.stagevp.com
Starta Capital,Technology,"New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.startacapital.com
Steep Hill Ventures,"Food and Agriculture, Healthcare","Berkeley, CA",Early Stage,www.steephill.com
Stony Lonesome Group,Defense,"Weston, CT","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.stonylonesomegroupllc.com
Streamlined Ventures,"Technology, Telecoms, Communications, Media, IT, High-Tech, Intellectual Property, Software, Internet, Hardware, Semiconductors, Computer Services, Information Services, Education / Training, Infrastructure, Digital Media, Wireless, Network, IT Security, IT Infrastructure, Gaming, Advertising","Palo Alto, CA",Early Stage: Seed,http://www.streamlinedventures.com
Structure Capital,"Business Services, Consumer Discretionary, Diversified, Industrials, Information Technology, Telecoms, Media and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",structure.vc/
Subtitle VC,N/A,N/A,N/A,N/A
Summation Health Ventures,"Technology, Healthcare, IT, Healthcare IT","Long Beach, CA","Early Stage, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.shv.io
Sunbridge Partners,"Business Services, Clean Technology, Energy and Utilities, Healthcare, Industrials, Information Technology, Materials, Telecoms, Media, and Communications","Beachwood, OH","Early Stage: Seed, Early Stage: Start-up, Growth",www.sunbridgepartners.com
Sunrise Capital,"Business Services, Diversified, Healthcare, Industrials, Information Technology","New York, NY",Growth,www.sunriselp.com
Super Ventures,"Technology, Software, Hardware","San Francisco, CA","Early Stage, Seed, Start-up",http://www.superventures.com
Surgical Frontiers,"Healthcare, Medical Technologies","Logan, UT","Early Stage, Seed, Start-up",www.surgicalfrontiers.com/
Susa Ventures,"Technology, IT, Information Services","San Francisco, CA","Early Stage, Seed, Start-up",www.susaventures.com
SV Angel,"Business Services, Consumer Discretionary, Diversified, Food and Agriculture, Healthcare, Industrials, Information Technology, Real Estate Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.svangel.com
SWaN & Legend Venture Partners,"Consumer Products, Retail, Consumer Services, Leisure, Restaurants","Leesburg, VA","Early Stage, Expansion / Late Stage, Growth",http://www.swanandlegend.com
Sway Ventures,"Business Services, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","La Jolla, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.swayvc.com
Switch VC,"IT, Software","San Francisco, CA","Seed, Start-up",http://www.switch.vc
Synapse Partners,Information Technology,"San Francisco, CA",Early Stage: Start-up,www.synapsepartners.co
Tahoma Ventures,"Technology, IT, Software, Hardware, Semiconductors, Network, IT Infrastructure","Boulder, CO","Early Stage, Seed, Start-up",http://www.johnives.com
Tallwave Capital,"Technology, Retail, Software, Internet, Business Services, Digital Media, Telecom Media, Advertising","Scottsdale, AZ","Early Stage, Seed",www.tallwavecapital.com
Tamarisc,Real Estate Technology,"Irvine, CA",Early Stage,www.tamarisc.vc
Tank Hill Ventures,"Technology, Intellectual Property, Software","San Francisco, CA","Early Stage, Seed, Growth",www.th-vp.com
Taurus Ventures,Information Technology,"San Jose, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.taurus.vc
Team Builder Ventures,N/A,"San Francisco, CA","Early Stage, Seed",N/A
Tech Square Ventures,"Technology, Retail, Financial Services, IT, High-Tech, Intellectual Property, Software, Electronics, Internet, Information Services, Medical Devices, Marketing, Medical Technologies, Digital Media, Wireless, Network, Healthcare IT, IT Security, IT Infrastructure, Gaming, Advertising","Atlanta, GA","Early Stage, Seed, Start-up",http://www.techsquareventures.com
Tectonic,"Business Services, Diversified, Healthcare, Industrials, Information Technology","Newton, MA",Early Stage,www.tectonicventures.com
TEEC Angel Fund,"Technology, Telecoms, Healthcare, Consumer Products, Consumer Services, Media, Biotechnology, High-Tech, Software, Internet, Hardware, Semiconductors, Biomedical, Education / Training, Medical Devices, Clean Technology, Healthcare IT, IT Security","Los Altos, CA","Early Stage, Seed, Start-up",http://www.teec-angel.com
Tekton Ventures,"Business Services, Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.tektonventures.com
Telegraph Hill Capital,"Business Services, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.thcap.com
Telescope Partners,Information Technology,"San Francisco, CA",Growth,www.telescopepartners.com
Telescopic Ventures,"Business Services, Clean Technology, Industrials, Information Technology","Oakland, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.telescopicventures.com/
Telluride Venture Fund,"Technology, Energy, Leisure, Diversified, Education / Training","Telluride, CO","Early Stage, Seed",http://www.tellurideventurefund.com
Tellus Partners,,"Saratoga Springs, UT",Early Stage,http://www.tellus.partners
Ten Eleven Ventures,"IT, IT Security","Burlingame, CA","Early Stage, Start-up, Expansion / Late Stage, Growth",http://www.1011vc.com
Tensility VC,"Enterprise, Healthcare, Network Security","Chicago, IL","Seed Stage, Series A",http://www.tensilityvc.com/
TenOneTen Ventures,"Consumer Discretionary, Healthcare, Information Technology, Real Estate, Telecoms, Media, and Communications","Los Angeles, CA","Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.tenoneten.net
Tenor Capital Management,N/A,N/A,N/A,N/A
The Cove Fund,"Technology, Life Sciences","Irvine, CA",Seed,http://www.covefund.com
The Design Accelerator,"Technology, Engineering, Digital Media","Pasadena, CA","Early Stage, Start-up",www.thedesignaccelerator.com
The Fabric,"Information Technology, Infrastructure","Mountain View, CA",Early Stage,www.thefabricnet.com/
The Farm Ventures,N/A,N/A,N/A,http://www.thefarmventures.com/
The Graduate Syndicate,"Technology, Diversified","Boston, MA",Seed,www.thegraduatesyndicate.com
The Helm,Information Technology,"New York, NY",Early Stage: Seed,www.thehelm.co/
The Hive,"Technology, Retail, Media, Financial Services, IT, High-Tech, Software, Internet, Marketing, IT Security, IT Infrastructure, Advertising","Palo Alto, CA","Early Stage, Seed, Start-up",www.hivedata.com
The House Fund,"Technology, Internet, Diversified","Berkeley, CA","Seed, Start-up",http://www.thehouse.fund
The Impact Engine,"Healthcare, Environmental Services, Education / Training","Chicago, IL","Early Stage, Seed",www.theimpactengine.com
The TauTona Group,"Healthcare, Medical Devices, Medical Technologies","Redwood City, CA","Early Stage, Seed",www.tautonagroup.com
The Tribe,Diversified,"San Francisco, CA",Early Stage,www.tribecap.co
The Valley Fund,"Business Services, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Menlo Park, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.thevalleyfund.com
Third Prime Capital,"Business Services, Clean Technology, Consumer Discretionary, Food and Agriculture, Industrials, Information Technology, Telecoms, Media, and Communication","New York, NY","Early Stage, Early Stage: Seed, Venture (General)",www.thirdprimecapital.com
Three Bridges,"Clean Technology, Industrials, Information Technology, Infrastructure, Telecoms, Media, and Communications","Berkeley, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.tbv.vc
ThreeFishCapital,"Business Services, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Venture (General)",www.threefishcapital.com
Thursday Ventures,"Technology, Wireless","Middletown, RI","Early Stage, Start-up",http://www.thursday.vc
TiE Launchpad,N/A,"Sunnyvale, CA",N/A,http://www.tielaunchpad.com/
Torch Capital,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","New York, NY",Early Stage,https://www.linkedin.com/company/torch-capital/
Townsgate Media,"Technology, Internet, Digital Media, Advertising","Westlake Village, CA","Early Stage, Seed, Start-up",www.townsgatemedia.com
Trail Post Ventures,"Consumer Discretionary, Food and Agriculture, information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.trailpostventures.com
TrailMix Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology","New York, NY",Early Stage: Seed,www.trailmix.vc
Transmedia Capital,"Consumer Discretionary, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",transmediacapital.com
Travel Capitalist Ventures,"Technology, Retail, Consumer Services, Transportation, Software, Internet, Leisure, Telecom Media","Irvine, CA","Buyout, Early Stage, Seed, Start-up, Expansion / Late Stage, Growth, Spin-Offs, Turnaround, Venture (General)",www.travelcapitalist.com
Tribe,Telecoms,"San Francisco, CA",Seed,www.tribe.pm
Tribeca Venture Partners,"Technology, Media, Financial Services, Internet, Information Services, Education / Training, Digital Media","New York, NY","Early Stage, Seed, Expansion / Late Stage, Venture (General)",http://www.tribecavp.com
Trigger Media Group,Digital Media,"New York, NY",Seed,www.triggermedia.com
Troy Capital Partners,"Business Development, Financial Services","Santa Monica, CA","Early Stage, Expansion / Late Stage, Venture (General)",www.troycapitalpartners.com
Trucks Venture Partners,"Industrials, Information, Technology","San Francisco, CA","Early Stage, Early Stage: Seed",trucks.vc/
True North Venture Partners,"Clean Technology, Renewable Energy","Chicago, IL","Early Stage, Expansion / Late Stage, Venture (General)",www.truenorthvp.com
True Wealth Ventures,"Consumer Products, Consumer Services","Austin, TX","Early Stage, Seed, Start-up",www.truewealthvc.com/
Tuatara Capital,"Technology, Consumer Products, Retail, Agriculture, Production","New York, NY","Early Stage, Expansion / Late Stage, Growth",http://www.tuataracapital.com
Tullis Growth Fund,"Pharmaceuticals, Healthcare, Life Sciences, Biotechnology, Medical Instruments, Biomedical, Medical Devices, Medical Technologies, Predictive Medicine, Healthcare IT","Palm Beach, FL","Expansion / Late Stage, Growth, Venture (General)",www.tullisfunds.com
Tusk Ventures,"Technology, Consumer Services, Transportation, Financial Services, IT, Software, Internet, Insurance, Gaming, Hotels and Offices","New York, NY","Early Stage, Seed, Start-up, Expansion / Late Stage, Venture (General)",http://www.tuskventures.com
Ubiquity,Information Technology,"Palo Alto, CA",Early Stage,ubiquity.vc/
Ulu Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.uluventures.com
Uncork Capital,"Technology, Internet, Software","Palo Alto, CA","Early Stage, seed",https://uncorkcapital.com/
Underscore VC,"Software, Internet","Boston, MA","Early Stage, Seed, Expansion / Late Stage, Venture (General)",http://www.underscore.vc
Unshackled Ventures,Diversified,"Palo Alto, CA","Early Stage, Seed, Start-up",www.unshackledvc.com
UP2398,"Consumer Discretionary, Diversified, Information Technology","Redwood City, CA","Early Stage: Seed, Early Stage: Start-up",www.up2398.com
Uprising Capital,N/A,"Columbus, OH",N/A,http://www.uprisingcapital.com/
Upside Partnership,"Technology, Consumer Services, Business Services","Mill Valley, CA","Early Stage, Seed",www.upsidevc.com
UpWest Labs,"Technology, Software, Internet, IT Security","Palo Alto, CA","Early Stage, Seed, Start-up",http://www.upwestlabs.com
Urban Innovation Fund,"Business Services, Consumer Discretionary, Diversified, Energy and Utilities, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.urbaninnovationfund.com/
Urban.Us,"Clean Technology, Diversified, Energy and Utilities, Industrials, Information Technology, Real Estate, Telecoms, Media, and Communications","Brooklyn, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.urban.us
v1.vc,Diversified,"Boulder, CO; San Francisco, CA","Early Stage, Seed",www.v1.vc
Valley Growth Ventures,"Manufacturing, Software, Energy, Materials","Youngstown, OH",Start-up,http://www.valleygrowthventures.com
Vamos Ventures,Information Technology,"Los Angeles, CA",Early Stage,www.vamosventures.com
Van Wagoner Ventures,"Technology, Transportation","San Francisco, CA","Expansion / Late Stage, Growth, pre-IPO, Venture (General)",http://www.vwcm.com
Vast Ventures,"Consumer Discretionary, Food and Agriculture, Healthcare, Information Technology, Materials, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed",www.vastvc.com
Vayner Capital,"Business Services, Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed",www.vaynerrse.com
Vegas Tech Fund,"Business Services, Clean Technology, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","Las Vegas, NV","Early Stage, Early Stage: Seed",www.vtfcapital.com/
Vela Partners,"Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Expansion / Late Stage, Venture (General)",www.vela.partners
Velorum Capital,N/A,"San Francisco, CA",N/A,N/A
Velos Capital,"Business Services, Consumer Discretionary, Diversified, Healthcare, Industrials, Information Technology","Los Angeles, CA","Early Stage, Expansion / Late Stage, Venture (General)",www.velospartners.com
Venture51,"Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","Encinitas, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture (General)",venture51.com
Verse Capital Ventures,"Consumer Discretionary, Information Technology","Salt Lake City, UT","Early Stage, Early Stage: Start-up",www.versecap.com
Version One Ventures,"Consumer Discretionary, Energy and Utilities, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.versionone.vc
Vested World,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Materials, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Start-up",www.vestedworld.com
Vestor.In,"Retail, IT, Internet, Digital Media","San Francisco, CA","Seed, Start-up",www.vestor.in
VilCap Investments,"Agriculture, Clean Energy, Education, Finance, Healthcare",Washington D.C.,Early Stage: Seed,https://vilcap.com/
Vodia Capital,"Healthcare, Environmental Services, Energy, Utilities, Food, Medical Technologies, Power, Nanotechnology, Clean Technology, Renewable Energy","Concord, MA",Seed,www.vodiaventures.com
Wavemaker 360 Health,Healthcare,"Pasadena, CA",Early Stage,wavemaker360.com
Wavemaker Partners,"Technology, Consumer Services, High-Tech, Business Services","Los Angeles, CA","Early Stage, Start-up, Venture (General)",http://www.wavemaker.vc
Waverley Capital,"Consumer Discretionary, Telecoms, Media, and Communications","New York, NY",Early Stage,www.waverleycapital.com
Waypoint Capital,N/A,N/A,N/A,N/A
Weekend Fund,Diversified,"San Francisco, CA",Seed,https://weekend.fund/
West Capital Advisors,Diversified,"Cincinnati, OH","Early Stage, Seed, Start-up, Expansion / Late Stage, Venture (General)",http://www.westcapadv.com
West Lane Capital,"Consumer Products, Distribution, Manufacturing, Financial Services, Beverages, Logistics, Food, Business Services","Los Angeles, CA","Buyout, Complex Situation, Growth",www.westlanecap.com
West Loop Ventures,"Business Services, Information Technology","Chicago, IL","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.westloopventures.com
WestWave Capital,Information Technology,"Palo Alto, CA",Venture (General),www.westwavecapital.com
Wildcat Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","San Mateo, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.wildcat.vc
Windham Venture Partners,"Healthcare, Medical Instruments, Medical Devices, Medical Technologies, Healthcare IT","New York, NY","Start-up, Venture (General)",www.windhamvp.com
WindSail Capital,"Business Services, Clean Technology, Diversified, Energy and Utilities, Food and Agriculture, Industrials, Information Technology, Infrastructure, Materials","Boston, MA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture Debt",www.windsailcapital.com
Winklevoss Capital,"Business Services, Consumer Discretionary, Diversified, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Venture (General)",winklevosscapital.com
Winnebago Capital Partners,Diversified,"Neenah, WI","Early Stage, Seed, Start-up",www.winnebagoseedfund.com
Wireframe Ventures,"Diversified, Information Technology","Mill Valley, CA",Venture (General),www.wireframevc.com
WISC Partners,Diversified,"Madison, WI","Early Stage, Growth",www.wiscpartners.com
